"row_names" "tailnum" "year" "type" "manufacturer" "model" "engines" "seats" "speed" "engine"
"44" "44" "N11548" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"45" "45" "N11551" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"46" "46" "N11565" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"47" "47" "N117UW" 2000 "Fixed wing multi engine" "AIRBUS INDUSTRIE" "A320-214" 2 182 NA "Turbo-fan"
"48" "48" "N118US" 2000 "Fixed wing multi engine" "AIRBUS INDUSTRIE" "A320-214" 2 182 NA "Turbo-fan"
"49" "49" "N119US" 2000 "Fixed wing multi engine" "AIRBUS INDUSTRIE" "A320-214" 2 182 NA "Turbo-fan"
"50" "50" "N1200K" 1998 "Fixed wing multi engine" "BOEING" "767-332" 2 330 NA "Turbo-fan"
"51" "51" "N1201P" 1998 "Fixed wing multi engine" "BOEING" "767-332" 2 330 NA "Turbo-fan"
"52" "52" "N12109" 1994 "Fixed wing multi engine" "BOEING" "757-224" 2 178 NA "Turbo-jet"
"53" "53" "N12114" 1995 "Fixed wing multi engine" "BOEING" "757-224" 2 178 NA "Turbo-jet"
"54" "54" "N12116" 1996 "Fixed wing multi engine" "BOEING" "757-224" 2 178 NA "Turbo-jet"
"55" "55" "N12122" 2003 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"56" "56" "N12125" 1998 "Fixed wing multi engine" "BOEING" "757-224" 2 178 NA "Turbo-jet"
"57" "57" "N12126" 2003 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"58" "58" "N12135" 2003 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"59" "59" "N12136" 2003 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"60" "60" "N12142" 2003 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"61" "61" "N12145" 2003 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"62" "62" "N12157" 2004 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"63" "63" "N12160" 2004 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"64" "64" "N12163" 2004 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"65" "65" "N12166" 2004 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"66" "66" "N12167" 2004 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"67" "67" "N12172" 2004 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"68" "68" "N12175" 2004 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"69" "69" "N12195" 2005 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"70" "70" "N121DE" 1987 "Fixed wing multi engine" "BOEING" "767-332" 2 330 NA "Turbo-fan"
"71" "71" "N121UW" 2000 "Fixed wing multi engine" "AIRBUS INDUSTRIE" "A320-214" 2 182 NA "Turbo-fan"
"72" "72" "N12201" 2006 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"73" "73" "N12216" 1998 "Fixed wing multi engine" "BOEING" "737-824" 2 149 NA "Turbo-fan"
"74" "74" "N12218" 1998 "Fixed wing multi engine" "BOEING" "737-824" 2 149 NA "Turbo-fan"
"75" "75" "N12221" 1998 "Fixed wing multi engine" "BOEING" "737-824" 2 149 NA "Turbo-fan"
"76" "76" "N12225" 1998 "Fixed wing multi engine" "BOEING" "737-824" 2 149 NA "Turbo-fan"
"77" "77" "N12238" 1999 "Fixed wing multi engine" "BOEING" "737-824" 2 149 NA "Turbo-fan"
"78" "78" "N122US" 2000 "Fixed wing multi engine" "AIRBUS INDUSTRIE" "A320-214" 2 182 NA "Turbo-fan"
"79" "79" "N123UW" 2000 "Fixed wing multi engine" "AIRBUS INDUSTRIE" "A320-214" 2 182 NA "Turbo-fan"
"80" "80" "N124US" 2000 "Fixed wing multi engine" "AIRBUS INDUSTRIE" "A320-214" 2 182 NA "Turbo-fan"
"81" "81" "N12540" 2001 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"82" "82" "N12552" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"83" "83" "N12563" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"84" "84" "N12564" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"85" "85" "N12567" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"86" "86" "N12569" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"87" "87" "N125UW" 2009 "Fixed wing multi engine" "AIRBUS" "A320-214" 2 182 NA "Turbo-fan"
"88" "88" "N126UW" 2009 "Fixed wing multi engine" "AIRBUS" "A320-214" 2 182 NA "Turbo-fan"
"89" "89" "N127UW" 2010 "Fixed wing multi engine" "AIRBUS" "A320-214" 2 182 NA "Turbo-fan"
"90" "90" "N128UW" 2010 "Fixed wing multi engine" "AIRBUS" "A320-214" 2 182 NA "Turbo-fan"
"91" "91" "N12900" 2001 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"92" "92" "N12921" 2000 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"93" "93" "N12922" 2000 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"94" "94" "N12924" 2000 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"95" "95" "N12957" 1998 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"96" "96" "N12967" 1999 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"97" "97" "N12996" 2000 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"98" "98" "N13110" 1994 "Fixed wing multi engine" "BOEING" "757-224" 2 178 NA "Turbo-jet"
"99" "99" "N13113" 1995 "Fixed wing multi engine" "BOEING" "757-224" 2 178 NA "Turbo-jet"
"100" "100" "N13118" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"101" "101" "N13123" 2003 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"102" "102" "N13124" 2003 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"103" "103" "N13132" 2003 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"104" "104" "N13133" 2003 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"105" "105" "N13138" 1999 "Fixed wing multi engine" "BOEING" "757-224" 2 178 NA "Turbo-jet"
"106" "106" "N13161" 2004 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"107" "107" "N131EV" 2009 "Fixed wing multi engine" "BOMBARDIER INC" "CL-600-2D24" 2 95 NA "Turbo-fan"
"108" "108" "N13202" 2006 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"109" "109" "N13248" 1999 "Fixed wing multi engine" "BOEING" "737-824" 2 149 NA "Turbo-fan"
"110" "110" "N132EV" 2009 "Fixed wing multi engine" "BOMBARDIER INC" "CL-600-2D24" 2 95 NA "Turbo-fan"
"111" "111" "N133EV" 2009 "Fixed wing multi engine" "BOMBARDIER INC" "CL-600-2D24" 2 95 NA "Turbo-fan"
"112" "112" "N134EV" 2009 "Fixed wing multi engine" "BOMBARDIER INC" "CL-600-2D24" 2 95 NA "Turbo-fan"
"113" "113" "N13538" 2001 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"114" "114" "N13550" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"115" "115" "N13553" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"116" "116" "N13566" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"117" "117" "N135EV" 2009 "Fixed wing multi engine" "BOMBARDIER INC" "CL-600-2D24" 2 95 NA "Turbo-fan"
"118" "118" "N136DL" 1991 "Fixed wing multi engine" "BOEING" "767-332" 2 330 NA "Turbo-fan"
"119" "119" "N136EV" 2009 "Fixed wing multi engine" "BOMBARDIER INC" "CL-600-2D24" 2 95 NA "Turbo-fan"
"120" "120" "N13716" 1998 "Fixed wing multi engine" "BOEING" "737-724" 2 149 NA "Turbo-jet"
"121" "121" "N13718" 1999 "Fixed wing multi engine" "BOEING" "737-724" 2 149 NA "Turbo-jet"
"122" "122" "N13750" 1999 "Fixed wing multi engine" "BOEING" "737-724" 2 149 NA "Turbo-jet"
"123" "123" "N137DL" 1991 "Fixed wing multi engine" "BOEING" "767-332" 2 330 NA "Turbo-fan"
"124" "124" "N137EV" 2009 "Fixed wing multi engine" "BOMBARDIER INC" "CL-600-2D24" 2 95 NA "Turbo-fan"
"125" "125" "N138EV" 2009 "Fixed wing multi engine" "BOMBARDIER INC" "CL-600-2D24" 2 95 NA "Turbo-fan"
"126" "126" "N13903" 2001 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"127" "127" "N13908" 2001 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"128" "128" "N13913" 2001 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"129" "129" "N13914" 2001 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"130" "130" "N13949" 1998 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"131" "131" "N13955" 1998 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"132" "132" "N13956" 1998 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"133" "133" "N13958" 1998 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"134" "134" "N13964" 1999 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"135" "135" "N13965" 1999 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"136" "136" "N13968" 1999 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"137" "137" "N13969" 1999 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"138" "138" "N13970" 1999 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"139" "139" "N13975" 1999 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"140" "140" "N13978" 1999 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"141" "141" "N13979" 1999 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"142" "142" "N13988" 2000 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"143" "143" "N13989" 2000 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"144" "144" "N13992" 2000 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"145" "145" "N13994" 2000 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"146" "146" "N13995" 2000 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"147" "147" "N13997" 2000 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"148" "148" "N14102" 1994 "Fixed wing multi engine" "BOEING" "757-224" 2 178 NA "Turbo-jet"
"149" "149" "N14105" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"150" "150" "N14106" 1994 "Fixed wing multi engine" "BOEING" "757-224" 2 178 NA "Turbo-jet"
"151" "151" "N14107" 1994 "Fixed wing multi engine" "BOEING" "757-224" 2 178 NA "Turbo-jet"
"152" "152" "N14115" 1995 "Fixed wing multi engine" "BOEING" "757-224" 2 178 NA "Turbo-jet"
"153" "153" "N14116" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"154" "154" "N14117" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"155" "155" "N14118" 1997 "Fixed wing multi engine" "BOEING" "757-224" 2 178 NA "Turbo-jet"
"156" "156" "N14120" 1997 "Fixed wing multi engine" "BOEING" "757-224" 2 178 NA "Turbo-jet"
"157" "157" "N14121" 1997 "Fixed wing multi engine" "BOEING" "757-224" 2 178 NA "Turbo-jet"
"158" "158" "N14125" 2003 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"159" "159" "N14143" 2003 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"160" "160" "N14148" 2003 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"161" "161" "N14153" 2003 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"162" "162" "N14158" 2004 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"163" "163" "N14162" 2004 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"164" "164" "N14168" 2004 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"165" "165" "N14171" 2004 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"166" "166" "N14173" 2004 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"167" "167" "N14174" 2004 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"168" "168" "N14177" 2005 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"169" "169" "N14179" 2005 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"170" "170" "N14180" 2005 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"171" "171" "N14186" 2005 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"172" "172" "N14188" 2005 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"173" "173" "N14198" 2006 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"174" "174" "N14203" 2006 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"175" "175" "N14204" 2006 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"176" "176" "N14214" 1998 "Fixed wing multi engine" "BOEING" "737-824" 2 149 NA "Turbo-fan"
"177" "177" "N14219" 1998 "Fixed wing multi engine" "BOEING" "737-824" 2 149 NA "Turbo-fan"
"178" "178" "N14228" 1999 "Fixed wing multi engine" "BOEING" "737-824" 2 149 NA "Turbo-fan"
"179" "179" "N14230" 1999 "Fixed wing multi engine" "BOEING" "737-824" 2 149 NA "Turbo-fan"
"180" "180" "N14231" 1999 "Fixed wing multi engine" "BOEING" "737-824" 2 149 NA "Turbo-fan"
"181" "181" "N14237" 1999 "Fixed wing multi engine" "BOEING" "737-824" 2 149 NA "Turbo-fan"
"182" "182" "N14242" 1999 "Fixed wing multi engine" "BOEING" "737-824" 2 149 NA "Turbo-fan"
"183" "183" "N14250" 1999 "Fixed wing multi engine" "BOEING" "737-824" 2 149 NA "Turbo-fan"
"184" "184" "N143DA" 1998 "Fixed wing multi engine" "BOEING" "767-332" 2 330 NA "Turbo-fan"
"185" "185" "N14542" 2001 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"186" "186" "N14543" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"187" "187" "N14558" NA "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"188" "188" "N14562" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"189" "189" "N14568" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"190" "190" "N14570" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"191" "191" "N14573" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"192" "192" "N14629" 1965 "Fixed wing multi engine" "BOEING" "737-524" 2 149 NA "Turbo-fan"
"193" "193" "N146PQ" 2007 "Fixed wing multi engine" "BOMBARDIER INC" "CL-600-2D24" 2 95 NA "Turbo-fan"
"194" "194" "N14704" 1998 "Fixed wing multi engine" "BOEING" "737-724" 2 149 NA "Turbo-jet"
"195" "195" "N14731" 1999 "Fixed wing multi engine" "BOEING" "737-724" 2 149 NA "Turbo-jet"
"196" "196" "N147PQ" 2007 "Fixed wing multi engine" "BOMBARDIER INC" "CL-600-2D24" 2 95 NA "Turbo-fan"
"197" "197" "N14902" 2001 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"198" "198" "N14904" 2001 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"199" "199" "N14905" 2001 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"200" "200" "N14907" 2001 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"201" "201" "N14916" 2001 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"202" "202" "N14920" 2001 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"203" "203" "N14923" 2000 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"204" "204" "N14950" 1998 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"205" "205" "N14952" 1998 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"206" "206" "N14953" 1998 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"207" "207" "N14959" 1998 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"208" "208" "N14960" 1998 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"209" "209" "N14972" 1999 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"210" "210" "N14974" 1999 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"211" "211" "N14977" 1999 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"212" "212" "N14991" 2000 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"213" "213" "N14993" 2000 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"214" "214" "N14998" 2000 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"215" "215" "N1501P" 1990 "Fixed wing multi engine" "BOEING" "767-3P6" 2 290 NA "Turbo-fan"
"216" "216" "N150UW" 2013 "Fixed wing multi engine" "AIRBUS" "A321-211" 2 199 NA "Turbo-fan"
"217" "217" "N151UW" 2013 "Fixed wing multi engine" "AIRBUS" "A321-211" 2 199 NA "Turbo-fan"
"218" "218" "N152DL" 1990 "Fixed wing multi engine" "BOEING" "767-3P6" 2 290 NA "Turbo-fan"
"219" "219" "N152UW" 2013 "Fixed wing multi engine" "AIRBUS" "A321-211" 2 199 NA "Turbo-fan"
"220" "220" "N153DL" 1990 "Fixed wing multi engine" "BOEING" "767-3P6" 2 290 NA "Turbo-fan"
"221" "221" "N153PQ" 2007 "Fixed wing multi engine" "BOMBARDIER INC" "CL-600-2D24" 2 95 NA "Turbo-fan"
"222" "222" "N153UW" 2013 "Fixed wing multi engine" "AIRBUS" "A321-211" 2 199 NA "Turbo-fan"
"223" "223" "N154DL" 1991 "Fixed wing multi engine" "BOEING" "767-3P6" 2 290 NA "Turbo-fan"
"224" "224" "N154UW" 2013 "Fixed wing multi engine" "AIRBUS" "A321-211" 2 199 NA "Turbo-fan"
"225" "225" "N15555" NA "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"226" "226" "N15572" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"227" "227" "N15574" NA "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"228" "228" "N155DL" 1991 "Fixed wing multi engine" "BOEING" "767-3P6" 2 290 NA "Turbo-fan"
"229" "229" "N155UW" 2013 "Fixed wing multi engine" "AIRBUS" "A321-211" 2 199 NA "Turbo-fan"
